1	6
1	7
1	10
1	20
3	10
3	13
3	20
3	99
3	173
5	14
5	29
5	99
6	7
6	99
10	11
10	14
10	29
10	34
10	36
10	48
10	69
10	93
10	125
10	141
10	153
10	213
10	227
10	264
10	266
10	376
11	213
13	14
13	36
13	93
13	197
14	29
14	99
15	35
16	87
20	29
20	36
20	141
29	93
29	99
29	125
29	156
32	99
34	99
35	65
35	80
35	94
35	117
35	128
35	164
35	172
35	192
35	194
35	277
35	308
35	316
36	69
36	93
36	99
48	213
48	390
55	177
55	197
64	213
65	309
69	93
69	99
74	128
75	80
75	277
80	164
80	176
80	286
87	93
87	132
87	213
93	99
94	243
95	264
99	141
99	153
99	161
99	213
99	229
99	345
105	349
117	128
122	164
122	249
128	189
128	305
134	157
134	167
134	172
134	249
134	304
136	162
136	325
144	317
144	347
156	329
158	264
161	334
164	277
171	197
172	234
172	249
172	304
172	325
173	366
192	264
192	286
197	232
208	266
213	227
213	247
213	287
215	308
222	356
243	259
243	323
260	286
277	308
294	325
308	315
308	316
329	335
329	336
329	341
329	344
329	349
329	352
330	334
333	356
333	370
334	336
334	341
334	366
334	380
334	383
334	385
334	390
335	336
335	341
335	342
335	344
335	349
335	356
335	370
336	341
336	344
336	352
336	390
337	346
337	359
337	390
338	344
338	347
338	349
338	351
341	345
341	346
341	356
341	390
342	344
342	356
342	391
344	356
344	390
346	359
347	362
359	390
362	373
